"","id","case_","x_","y_","annual_100m","perennial_100m","shrub_100m","annual_500m","perennial_500m","shrub_500m","territory","sex"
"106",1,FALSE,546627.127182703,4797601.17988701,8.81818181818182,20.5454545454545,25.1818181818182,9.12292358803987,20.4983388704319,25.2059800664452,"HHGS_DS","female"
"107",1,FALSE,548114.968179216,4797579.90928458,6,19.7272727272727,23.1818181818182,11.7308970099668,24.0365448504983,18.9102990033223,"HHGS_DS","female"
"108",1,FALSE,547109.070114418,4807457.72357357,14.6153846153846,31.6923076923077,10.4615384615385,19.4566666666667,28.0166666666667,8.72666666666667,"HHGS_DS","female"
"109",1,FALSE,546607.380514877,4792115.05334894,43.3636363636364,12.0909090909091,4.09090909090909,32.7467532467532,17.5454545454545,7.63636363636364,"HHGS_DS","female"
"110",1,FALSE,547762.974391919,4802100.74693395,13.9230769230769,28.3846153846154,5.23076923076923,13.4733333333333,28.16,6.87333333333333,"HHGS_DS","female"
"111",1,FALSE,548711.099515852,4806187.51257764,0,0,0,2.61204013377926,7.62541806020067,0.882943143812709,"HHGS_DS","female"
"112",1,FALSE,545911.00774632,4794162.53423327,28.1666666666667,22.3333333333333,4.58333333333333,24.6812080536913,23.3926174496644,6.53355704697987,"HHGS_DS","female"
"113",1,FALSE,547133.471334259,4806223.06630601,14.75,27.0833333333333,8.33333333333333,17.0265780730897,28.3920265780731,8.20598006644518,"HHGS_DS","female"
"114",1,FALSE,547092.358415281,4800408.22820235,12.3333333333333,21.0833333333333,9.16666666666667,11.8079470198675,23.9205298013245,9.13576158940397,"HHGS_DS","female"
"115",1,FALSE,548552.477498987,4799950.25574308,13.4,26.7,19.8,14.15,28.38,11.2566666666667,"HHGS_DS","female"
"116",1,FALSE,549985.793036843,4803920.80437462,8.41666666666667,30.3333333333333,12.1666666666667,9.3864406779661,33.4203389830508,11.5762711864407,"HHGS_DS","female"
"117",1,FALSE,548975.573238686,4797524.52779237,8.33333333333333,19.25,26,9.4026402640264,21.8580858085809,24.5049504950495,"HHGS_DS","female"
"118",1,FALSE,547509.968382798,4805524.96082611,6.90909090909091,17.7272727272727,10.9090909090909,14.49,24.9933333333333,7.72333333333333,"HHGS_DS","female"
"119",1,FALSE,546945.383784569,4799885.25236471,17.6428571428571,18.7142857142857,8.57142857142857,16.5719063545151,18.8026755852843,8.74247491638796,"HHGS_DS","female"
"120",1,FALSE,546194.768666719,4789799.17349366,49.6,15,5.9,40.3657718120805,15.8859060402685,6.91610738255034,"HHGS_DS","female"
