"","case_","x_","y_","annual_100m","perennial_100m","shrub_100m","annual_500m","perennial_500m","shrub_500m"
"2617",FALSE,617012.593153465,4749234.30600253,47.0909090909091,7.18181818181818,1.72727272727273,28.9463087248322,12.4597315436242,6.26174496644295
"2618",FALSE,588844.574178949,4773623.96112715,6.41666666666667,20.6666666666667,5.5,9.61129568106312,21.8970099667774,5.7375415282392
"2619",FALSE,552744.758045457,4783655.11188987,6,10.2727272727273,28.9090909090909,6.12333333333333,11.1533333333333,27.0633333333333
"2620",FALSE,613838.111244382,4747004.49119262,20.75,24.0833333333333,1.16666666666667,19.375,19.8614864864865,3.77027027027027
"2621",FALSE,611812.620005112,4752548.87570449,25.9166666666667,10.4166666666667,1.41666666666667,27.8866666666667,10.87,0.9
"2622",FALSE,620400.387066502,4761378.94951556,22.8333333333333,13.6666666666667,8.25,42.9833887043189,8.98006644518272,2.66445182724252
"2623",FALSE,582134.740730514,4768401.34716144,12.5833333333333,14.6666666666667,10.5,13.0406779661017,12.5254237288136,8.11864406779661
"2624",FALSE,589766.280419013,4757970.97431831,0.461538461538462,0,0,0.505016722408027,0.969899665551839,0.224080267558528
"2625",FALSE,565607.284757396,4780393.48333255,4.33333333333333,9.33333333333333,19.25,5.38870431893688,10.4186046511628,21.3554817275748
"2626",FALSE,562082.735952324,4790956.71908342,16.1666666666667,30.4166666666667,3.83333333333333,16.99,27.0133333333333,6.20333333333333
"2627",FALSE,588660.67731113,4773763.2053543,5.08333333333333,23.8333333333333,4.08333333333333,8.71428571428571,23.046511627907,6.08305647840532
"2628",FALSE,548961.209114979,4783353.90280891,21.6363636363636,15.7272727272727,15.6363636363636,18.6046511627907,16.9601328903654,14.953488372093
"2629",FALSE,562582.27015759,4771153.85692588,4.72727272727273,18.2727272727273,19.6363636363636,5.63333333333333,14.58,23.8866666666667
"2630",FALSE,587128.972865065,4757348.53015939,1.25,0.0833333333333333,0,2.02666666666667,0.696666666666667,0.1
"2631",FALSE,546859.446996578,4793579.40579936,17.5,15.75,10.5,12.4191419141914,13.9009900990099,7.76567656765677
"2632",FALSE,542698.876041261,4798278.1947448,23.3076923076923,33.6923076923077,9.61538461538461,22.6666666666667,29.9533333333333,9.61333333333333
"2633",FALSE,543962.134284514,4792898.16784407,17.5454545454545,32.9090909090909,11.8181818181818,14.6688741721854,35.6026490066225,13.7417218543046
"2634",FALSE,598215.229827647,4756124.04912998,0,0,0,1.85284280936455,1.73578595317726,2.00334448160535
"2635",FALSE,591356.565301439,4782755.07881152,8.58333333333333,31,0.5,8.54180602006689,30.1538461538462,0.933110367892977
"2636",FALSE,615255.865057602,4770273.45950172,8.18181818181818,23.4545454545455,10.7272727272727,7.32131147540984,28.0786885245902,6.50819672131148
"2637",FALSE,589153.004868448,4760090.65123715,14.1666666666667,18.9166666666667,17.4166666666667,16.4633333333333,16.34,14.6333333333333
"2638",FALSE,564381.345571931,4777443.39207263,5.66666666666667,8.66666666666667,23.1666666666667,6.40333333333333,9.81333333333333,19.9833333333333
"2639",FALSE,546345.581997938,4808466.33708242,0,0,0,0.568106312292359,0.817275747508306,0.242524916943522
"2640",FALSE,609577.042070115,4757874.39874842,19,22.25,0,26.671096345515,16.9667774086379,0.428571428571429
"2641",FALSE,575720.107080026,4779859.79722376,8.69230769230769,23.9230769230769,7.61538461538461,11.8266666666667,15.1266666666667,6.80333333333333
"2642",FALSE,613002.023203844,4756693.70938606,41.2142857142857,11.6428571428571,4.78571428571429,39.4932432432432,9.20608108108108,2.80743243243243
"2643",FALSE,608925.456377162,4760931.90111899,51.3636363636364,8.45454545454546,0,45.1891891891892,10.0777027027027,0.27027027027027
"2644",FALSE,555893.212803329,4799666.507639,16.4166666666667,28.25,3.5,17.04,25.7733333333333,4.91666666666667
"2645",FALSE,576864.62238344,4786658.19470759,6.75,30.4166666666667,8.91666666666667,9.95973154362416,30.3456375838926,4.58389261744966
"2646",FALSE,594048.515092326,4755687.19662727,18.9166666666667,21.25,10.8333333333333,24.0816326530612,20.2823129251701,5.45918367346939
"2647",FALSE,566101.616097993,4774492.03647686,10.3636363636364,6.72727272727273,3.90909090909091,7.30333333333333,7.73333333333333,6.43
"2648",FALSE,579665.868729242,4779641.41096131,11,18.4545454545455,7.36363636363636,10.4327868852459,16.0393442622951,8.45245901639344
"2649",FALSE,556128.708430494,4769046.56726102,4.54545454545455,9.81818181818182,23.7272727272727,3.26333333333333,9.07666666666667,21.6666666666667
"2650",FALSE,588186.551444234,4757714.40487673,20.0909090909091,20.4545454545455,7.45454545454545,14.1766666666667,17.62,11.26
"2651",FALSE,600612.340252926,4757953.31710126,22.25,9.16666666666667,10,22.5919732441472,11.8795986622074,8.14715719063545
"2652",FALSE,618251.037928764,4759905.64384998,19,7.66666666666667,19.1666666666667,20.1328903654485,26.2757475083056,6.55813953488372
"2653",FALSE,567553.259491194,4785539.75943508,15.4615384615385,30.7692307692308,3.69230769230769,11.8053691275168,31.3020134228188,4.2248322147651
"2654",FALSE,563369.978596663,4782899.67224524,10.6666666666667,10.1666666666667,21,11.3220338983051,10.5661016949153,18.7661016949153
"2655",FALSE,561268.249646208,4782743.63202318,6.83333333333333,9.58333333333333,24.0833333333333,8.57190635451505,10.9933110367893,24.180602006689
"2656",FALSE,588094.063591884,4763657.84076986,13.75,16.0833333333333,7.75,17.3006756756757,14.7297297297297,7.30067567567568
"2657",FALSE,571595.216378422,4790348.39199796,7.46153846153846,25.5384615384615,14.9230769230769,8.50501672240803,29.8528428093645,12.5418060200669
"2658",FALSE,571117.66771124,4782746.67665554,4.63636363636364,30.2727272727273,9,6.78405315614618,23.4485049833887,8.578073089701
"2659",FALSE,546596.975702795,4801682.99209316,13.6363636363636,38.8181818181818,6.36363636363636,14.421768707483,36.5816326530612,6.29931972789116
"2660",FALSE,592467.416962288,4784658.47529485,16,27.9166666666667,1.83333333333333,14.3233333333333,30.55,1.35
"2661",FALSE,604728.691108892,4751973.95731438,29.1,13.1,6.3,23.5952380952381,12.3333333333333,6.79931972789116
"2662",FALSE,576955.914081026,4786077.69876709,9.5,29.6666666666667,2.08333333333333,10.5469798657718,31.003355704698,2.01006711409396
"2663",FALSE,590767.168322048,4779249.62303398,5,37.75,0,5.10702341137124,36.9866220735786,0.652173913043478
"2664",FALSE,595671.502647456,4771989.14421444,8.58333333333333,33.5,1.5,12.3639455782313,30.5170068027211,1.86394557823129
"2665",FALSE,564033.417832766,4798951.83025837,12.3846153846154,20.8461538461538,23.6153846153846,11.2842809364548,20.5886287625418,24.8227424749164
"2666",FALSE,614954.269161637,4766924.57606209,34.7272727272727,17.0909090909091,0,29.6677852348993,19.6946308724832,0.563758389261745
"2667",FALSE,568666.95289823,4765684.79353731,3.1,12.3,6.1,3.24232081911263,18.8088737201365,2.77474402730375
"2668",FALSE,571030.304723969,4778400.52033677,15.9090909090909,10.0909090909091,6.18181818181818,15.5633333333333,10.7366666666667,5.63333333333333
"2669",FALSE,582924.973997144,4763245.91789373,15.6666666666667,9.08333333333333,10.3333333333333,11.8666666666667,13.2433333333333,9.06
"2670",FALSE,544713.370349022,4773962.36252441,5.41666666666667,9.16666666666667,22.6666666666667,7.08637873754153,10.0332225913621,20.6212624584718
"2671",FALSE,556077.742124581,4804342.40551406,4.23076923076923,20.0769230769231,0,4.18211920529801,12.3211920529801,0
"2672",FALSE,567887.445486535,4796138.65930347,12.6428571428571,30.0714285714286,15.9285714285714,11.2323232323232,25.973063973064,19.4242424242424
"2673",FALSE,587377.193078372,4768109.30559698,27.75,19.3333333333333,4.41666666666667,19.972972972973,18.7871621621622,5.82094594594595
"2674",FALSE,576929.208919878,4777270.04696692,13.75,8.08333333333333,3,13.5016611295681,10.9867109634551,5.12292358803987
"2675",FALSE,620463.01225706,4770582.30924134,4.5,11.7,18.9,8.47098976109215,20.7542662116041,16.2969283276451
"2676",FALSE,570226.790879764,4798045.36153634,7,25.9166666666667,24.5,8.25666666666667,26.1033333333333,23.2533333333333
"2677",FALSE,565300.445096951,4776424.22176361,8.42857142857143,12.8571428571429,11.2142857142857,6.52188552188552,12.2895622895623,13.2390572390572
"2678",FALSE,570221.244957488,4782788.02033109,8.91666666666667,22.1666666666667,6.25,7.83050847457627,21.9525423728814,6.90169491525424
"2679",FALSE,567997.06535205,4785227.24699904,13.0833333333333,28.8333333333333,5,12.4437086092715,28.7582781456954,4.56622516556291
"2680",FALSE,553158.399855517,4792024.95902036,15.3,25.2,5.7,14.8243243243243,26.8547297297297,5.375
"2681",FALSE,597745.89501571,4757245.88906271,31.6666666666667,12.9166666666667,3.33333333333333,30.57,13.94,2.92333333333333
"2682",FALSE,539485.998785509,4787674.69509866,17.75,20.5,6.08333333333333,19.1266666666667,18.94,8.02333333333333
"2683",FALSE,600760.34481183,4755963.51251066,0.153846153846154,1.30769230769231,0,4.55218855218855,6.57912457912458,1.55892255892256
"2684",FALSE,612694.077227641,4756552.72432451,0,0,0,10.46,7.43333333333333,4.01
"2685",FALSE,572613.793340398,4774043.46728863,8.41666666666667,11.3333333333333,4.58333333333333,9.89115646258503,9.79931972789116,4.97278911564626
"2686",FALSE,608237.254215783,4745948.63204438,32.4545454545455,8.09090909090909,0.545454545454545,18.4832214765101,13.8758389261745,6.52348993288591
"2687",FALSE,551474.766994614,4794068.31300202,9.92307692307692,32,8.38461538461539,12.3687707641196,31.1395348837209,7.98671096345515
"2688",FALSE,607095.659844283,4747202.89965229,25.8181818181818,15.2727272727273,2.72727272727273,19.9732441471572,16.3411371237458,5.1438127090301
"2689",FALSE,610879.02239726,4757253.4361585,41.8571428571429,12.7857142857143,0.142857142857143,41.261744966443,12.1308724832215,0.825503355704698
"2690",FALSE,558557.435421005,4786673.47106023,12.8333333333333,1.16666666666667,5.91666666666667,14.3388704318937,4.1063122923588,6.21594684385382
